@relation 'prova-weka.filters.unsupervised.attribute.Reorder-R2,1'

@attribute text string
@attribute classPol {0,4}

@data
' hmm i wonder when will i be having 100 updates STRLAUGH maybe sooner or later',4
'  lions not sure he would like reading that',4
'  you are a pleasure to know & follow',4
'  sweet always good when you enjoy the work you\'re doing',4
' listening again to david archuleta\'s album \"oh oh oh don\'t let go \" what\'s up',4
'  hit hit the bf STRLAUGH',4
' going to bed late or waking up early can\'t tell the difference right now',4
'  didn\'t know you were such a fan matt did a little browsing to see if i could find any episodes and came across your fansite',4
'  cheers for the rt',4
'  lolwrong name^^ anyhow i found a list of thtv on dailymotion posted it on the forum you might want to spread to word',4
' playstadium dk just came by with their 3 router to help out with the wifi at drupalcamp copenhagen pretty awesome if you ask me',4
'  we are the same shoe size',4
' finally done with my bathroom after almost 2 yrs its late but im happy to be done i\'ll put pics up tmrw good night or good morning',4
'  yes it\'s really cool pulse',4
'  clowning about in a silent way',4
'  yes bradie that dose mean people are talking about you only cause everyone loves you',4
' 2 hours to go wish me luck',4
' i\'m inlurve with URL too funny i tell you  thanks for helping me discover it',4
'  have fun phil and don\'t go near those alien eggs and bring the flamethrower',4
' will do the rest of my ff later when i have something other than the shitt iphone app i just tried to use but crashed',4
'  munster woo hoo i want to see pictures',4
'  URL - you\'re killing me i\'m soo exited for it love you guys',4
' URL - hmm i mean internode and not the pub in the foreground',4
'  have a good trip',4
'  STRLAUGH well cleared up in time the analogy is a good one though you\'ll be relieved when it\'s done no doubt',4
' rt  in among my list of charming tweeps may i particularly highlight  followfriday i agree',4
'  *loves* i\'ll be reading through it after i get back from swimming first part of my long-fic is posted on my comm remodled',4
'  hehehe i\'m a fantard adik ako',4
'  if you come across any yorkshire and humber folks then please let me know so i can stalk them in a nice way lcict09',4
' a desk-bound day but marvelling at how lovely the white clematis is which we can see from the window it\'s been flowering for weeks now',4
' gonna c my best friend today av\'nt seen her for ages now cos bn doin my a-levels glad they\'re all over now though',4
' is looking forward to a long weekend off',4
' had an amazing time at retreat thanks everyone',4
'  hey you did u put up more anoop pics n videos from after or even before the finale at noop-dogg',4
' fartwatch farting relief at least i have some kind of lead URL',4
'  welcome here is some istanbul infos URL URL',4
'  u a filipino',4
' is off to cambridge with her best friend laura lol && then partying hard 2night very excitedd primark here we come & again next sat',4
'  ahh a full english how\'s my lady 2day suns out & i\'m happy give my a wink from ya whispering eye lol',4
' the frogs are so loud outside i can hear them inside lots of rain = lots of frogs',4
' however there\'s a patch of blue sky up ahead let\'s be optimists here and hope the race is travelling that direction',4
'  hi fran and gino ginoandfran live > URL',4
'  mc lym',4
'  satisying tho i bet',4
' rt  rt  its not about trending topic for jaljeera  its our love for the desi drink   ',4
'  mizu is amazing enjoy',4
'  ooh sounds good let me know if i can help in any way i hope you can come back to the amalfi coast soon',4
' my hair for the locks of love thingo that andrew is organising if you don\'t know we\'re basically just URL',4
' aww man this is crap he seem attracted to me phew',4
'  your site looks fine and very pretty to me',4
' having a good weekend so faar too bad ive gotta start revising for my exams \\',4
'   \'world is 3bn yrs old\' - love it such a good point',4
'  better me everyday +ve ion coz i almost everyday work in kampung kurang2 pun ari2 balik kampung',4
'  it sounds like you\'ve nearly done brilliant',4
' thanks guys - i\'m out finally fed i\'ve damaged one of the muscles in my chest - it\'ll be a few weeks before i\'m all better no panic',4
' about to rain outside total blackout lights just switched off in office and it\'s absolutely quiet i love it',4
' just done the m&s 1p bazaar followed by my free coffee at debenhams martin lewsi would be so proud',4
' just got up morning people',4
'  loves mcr oyea i\'ve just followed  20minutes ago btw STRLAUGH and i cant guess whats the prize can you',4
' new clarks sandal URL',4
'  it all went horribly wrong in a good way dad put holly\'s pants on and leon ripped them aff',4
' follow  for amazing photographs be nice to her and she\'ll let you in followfriday',4
' im up whats up everyone',4
' finally i have my own itouch so i can give my nano\'s to my sist as a g\'day gift',4
'  and appears you i loved find you here too i follow u bye bye *',4
' back home had a fun day with friends how\'s your day',4
' weather looks better through the window hope it\'s nice over the weekend looking forward to fatboy slim on saturday',4
'  thanks it means a lot to me knowing all the people around me are there for me k atm i feel pretty good',4
' i m trying to figure out twitter',4
' damn some very big stuff in sight stepfree and a potential businesspartner',4
' waiting for my amazing bestfriend to arrive yaay friday nights together remind me of primary days lol',4
'  ralphphonelottery 11 33am is my guesstimate for your phone arriving',4
' good morning  a hope you have a nice day',4
' i hate packing for holidays looking forward to it tho',4
' days off rock just rolled out of bed',4
' freakishly happy 50th birthday morrissey drink drink drink and be ill tonight <3',4
' cedar point all day be back around 1',4
' oh maya it\'s so good to see you again we should hang out more',4
' go shower after that i\'m going to come back',4
' it\'s a cat and mouse game; puppy dogs don\'t win hehe',4
'  lol its a very nice face',4
'  and im excited tomozzo xx',4
' off work',4
' wkend starts today get in my twit mates i love you hope you enjoy your wkend as well x x',4
'  ok hehe we\'re lucky you know my friend went to adam khoo last year she paid 7 5 mil for 4 days we get to pay half of it',4
'  it\'s a pleasure jenny i am now a bit sick of resting - time to get back to normal i think have a great day x',4
'  i\'ve met tatiana chudnovskaya and she said that she worked with you in that theatre she sent \"hi \" to you',4
' rt  “wrinkles should merely indicate where smiles have been ” mark twain~ perfect reply',4
'  it all went horribly wrong in a good way dan put holly\'s pants on and leon ripped them aff',4
'        for a fairly eclectic followfriday',4
' the sun is shining =d sort of i should really get a jog on going to meet shore whore for some dindins later tweet tweet xx',4
' yay for fridays and bank holiday weekends',4
'  oh hallo there you are andy didn\'t give me your twit-addy welcome to our chaotic circle',4
' going 2 bed miss ya april',4
'  when do you move i would love to hang out before then i hope the gig goes really well for kyle too',4
' the law of attraction the secret URL a must see 11 step video to our mental health',4
' just getting home had a great night with the bff work in 4 hrs ugh sweet dreams ppl',4
'  zoe we had soo much fun with ele and joo can\'t w8 until your big garden party it\'s gonna be awesome <3',4
'  romania after the starting \"agile\" workshop URL',4
' good morning tis a beautiful day in sunny london hmm what should i do today',4
'  no shit i think i helped get him on the trending topics list STRLAUGH hooray for bradie l',4
'  still not arrived - i keep walking through to the office to check the driveway - i even have a notice on the door how sad',4
' bumpin wax tailor chevelle ice cube deftones wu tang xzibit isley brothers raekwon bad religion cali agents black light burns bush',4
'  so when did you suddenly start using twitter again',4
'  have a good one give ol\' bendigo town my love give my love to kaylie and of course little ella too',4
' aw how adorable we love u too babe rt  in loving others i find it easier to love who i am ps i love my twitter community',4
'  STRLAUGH no sorry i wasn\'t on twitter for abit yaa i love soaps not as addicted as i used to be but still love em',4
'  there is a flooded town here - and residents were told to \"get out while you still can\" i love the drama of it',4
' screw you abc for ending this seasons lost like that i hate you so uhh when does the next season start',4
'  oshun howdya know i was a rudeboy hug collector',4
'  sijambo try to get a bit more things done than during the last days are you down to earth today or up up in the sky',4
'  most precisely nice piece of video editing ',4
' did the regular paperwork ** off to preparing for emi musicvideo this weekend ** meeting for universal musicvideo later today',4
'  well since i got back from a trip to the shops i have had a 3 5 hour break which is tremendous \"suprise \" STRLAUGH',4
' soon leaving for \"karlskoga\" going to visit some finnish relatives',4
' my new webhosting site is live URL - plus special offer - enter \"nudgewink\" at the basket for an extra 10\% off',4
' pooped purged some stuff in the attic whew glad i\'m almost halfway done',4
'  lol u can say a friends of mine y u still up',4
' i\'m home let the weekend begin',4
' here\'s  holding court URL',4
'  would be great if you could get it down the halls you would see me but a car can get all the way round the velodrome',4
'  i most certainly do',4
' im in college atm doing work',4
' remembering a dream URL',4
' in london going to go fix me up some breakfast & watch kerrang',4
'  its my 22nd birthday soon can i have one',4
'  tour to fl soon perhaps',4
' yall need to really ck out this dude van jones is an amazing man URL',4
' i really want to go home \' i\'m really excited about brighton thou 2 days to go woop woop',4
'   would you two do me the honour of private messaging me your shipping addresses posters coming your way',4
' please vote for my puppy lucy URL',4
'  ie cheers for the recommendation appreciated',4
'  how about jpp shem since u advertised at adgi has the numbers gone up',4
' loving my new toys ended up exchanging my hd for a mybook soo trustworthy got a wifi network too now and i tapped into cont',4
'  thanks',4
'  i\'m trying to get 1 00 00 followers because it\'s the cool thing to do',4
'  please do send a note to pinstorm research@gmail com if you\'d like to be considered',4
'  i just can\'t wait i\'ll do all i can to do my part in getting him back to his old spunky self',4
' thinking about a cd collection web 2 0',4
'  how cute is it i love chuck and blair together',4
'  URL - woow that\'s a lot of people',4
' candies in cakes with the candles i like it',4
'  hmm that sounds like a bachelor\'s cookbook',4
' base64 will do',4
' lego pour architectes en herbe URL',4
' morning all i wake up very early this morning 10h40 great weather in paris everything is cool so',4
'  awesome although i am not sure i am *nice* to nettles',4
'  dawkins is a little strident for my taste but thanks for the tip',4
' had a nice session of jdcc last night since i ended up going to ug meet a week late because i borked calendar jdcc = jd coke n code',4
' rt  vember days off rock just rolled out of bed - thanks for rubbing it in lol',4
'  same feeling here hows your day',4
' this works words URL',4
' finished the upgrade to ubuntu 9 04 finally installing latest compat-lib for notes did the job to run 8 5 1 on 9 04 cewl - love it',4
'  enjoy my mates going to that miss yis aall xx',4
'  nope i go to feui extention dear i took diplom program at feui too',4
' hey friday nice to see you again another sunny/awesome day ok i\'ll take that too mornin\'',4
' papers sheets notes & common sense gonna be a last successful exam next tuesday',4
'  i sure can - hello please i would tweet in greek but the only word i know means \'dog \' hope the demo goes great',4
'  URL - oh my gosh what are you doing with your hair but i love you with or without brown hair',4
' oh wait i almost forgot tomorrow is alohafriday mainlanders may do followfriday but for me its all about sharing the aloha',4
'   ha it would have matched my poor attempt at growing a goatee beard',4
'  STRLAUGH',4
'  the description tickled me what can i say',4
'  i think so too hehehe',4
'  dude izit one of the scenes in your new drama',4
'  while i\'m at it hey girl i didn\'t know you were in cali where are there any of the other girls out here',4
' im; in kearney donald partnership for work experience',4
'  that would be so lovely as i have not got one of the \"teechers\" programmes please let me know',4
'  bit more info than we needed dean lol runnybottom',4
' on the way to nottingham to go shopping',4
' i fuckin hate my sister',4
' is seriously chill seriously chill',4
'  oh so you\'ll be attending wwdc 2009 nice',4
'  tough question',4
'  great song mate trying to get tim for atheist conference in melb as we speak',4
' hey ~  your are lovely ~  x x x',4
' URL vote for la la land by  and paranoid by  the more the better',4
'  STRLAUGH yess i get to see him this weekend we\'re having a beach day with high school friends',4
'  &quoto your math\"',4
'  mee june 15th november 17th and november 22nd woo',4
'  lmfao andyclemmensen bradiewebb shaundiviney andyclemmensen bradiewebb shaundiviney',4
'  delta thanks for joining us and for the joke',4
'  congrats only a couple more hours to go and you\'ve arrived love you all',4
' yaay it\'s  moss so followfriday like nike just do it',4
'  working day',4
'  won´t miss ur summer tour gonna come over for a convention in nyc and even got tix for jones beach looking forward',4
' dji sam soe urban jazz crossover tonight  carlton pp',4
'  URL please look at these pic',4
'  thanks',4
' i need 2 go now my best friend is having a little baby and the brother is crazy aah o but i love him anyway that little monster xox',4
' is looking forward to riding her ponies today it\'s been awhile',4
'  sweet it\'s really close to me must be very nice try posting on craig\'slist with images should get some fast repsponse',4
'  thanks for the ff',4
'  can\'t think of anything to say that wouldn\'t get me a slap so i wil just wish you and your friends a comfortable day',4
'  good mornin my lady what are ur feelin today',4
' waking up my bed is my best friend',4
' i have opened my padlock to make it easier for followers as it\'s followfriday',4
'  thanks',4
'  this is very interesting thank you la ilak',4
' i could need more followers lol',4
'  most of us yes',4
' on youtube youtube com/kimlyx',4
'  wow brooke what time is it there now i kinda saw you yesterday really cool and kris won my god i\'m so happy',4
' pairwithus saturday tomorrow starting 11 30am bst gmt+1 at URL continuing for most of the day',4
' let the weekend begiin',4
'  nope not belgian she said with relief - irish born and bred probably have a wee dash of nordic mixed up with es armada',4
' clean',4
'  for that alone you deserve yourself another followfriday',4
' how can i dont love u u always know how to make me smile',4
' \"one thing is clear i wear a halo i wear a halo when you look at me \" god i\'m such a one tree hill addict lmao but i love it',4
' happy 50th birthday morrissey keep your eyes on gigwise for plenty of mozza celebrations today',4
' if you can travel back in time what would you change',4
'  not up yet we\'re in agreement though',4
'  oh crap there goes my blog',4
' rt berlin so i go off now running is a painkiller that means even steve URL so cool ¸¸ ¤ yes',4
'  thanks 4 following',4
'  darkyce thank the guys  for that they created this awesome vid URL so true keeps followfriday organized',4
' home tired tonight was a great way to start off my summer',4
' back to android-wifi-tether tried it and it works great on my jf 1 5 g1 no more buggy anetshare',4
' finally was able to change my earrings since my holes are almost fully healed i have much bling on my ears now',4
'  thanks for sending me feedback on the show wish i had more listeners like you',4
' is out in the garden with his laptop listening to galaxyfm seeing a friend later probably watch a film',4
'  lol argh its killing me everyone is twilight crazed and i havn\'t even seen it it actually comes out on dvd today',4
' even the a team can\'t find  poodle so y\'all better followfriday i ain\'t getting on no plane',4
'  thanks for the rt',4
'  hiya thanks for that i have written a reply to your email but it keeps bouncing your addy',4
'  cat141 eh maybe i\'m just used to alone time and silence my new roommates are me myself and i',4
'  wow thats a pretty crazy schedule lots of coffee for you am sorting out papers in office not fun is raining outside',4
' almost learnt the first section of drifting by andy mckee i really want to nail it before i go to section two',4
' what a lovely day it is in london i usually try to avoid tweeting inanities but i can\'t help myself this time',4
'  im doin ok thanks',4
' lol  all the dudes who r like \'err i dunno \' but hmm so far most ppl say red or black a few yellows so let\'s vote on those 3 go',4
' woo hoo its friday and then it is a long weekend and then one day of work and then off to cyprus woo hoo',4
' has noticed that no one is actually working here anymore lols i havent since yesterday URL',4
'  maybe another time bah',4
'  STRLAUGH that\'s awesome dork',4
'  remy thanks for the tune',4
' yay get to spend the day in the serveroom it\'s freezing and super load lucky i have lan from  to blast in here',4
'  hello john tip customise your twitter background so it\'s \'on brand\'',4
'  i cant wait to be in milan in august',4
' so it looks like it\'s going to be a beautiful sunny day here in pei life is getting on the a great track for me this is a bright season',4
'  steph  bby it was a mighty eventful day but tis time for me to sleep goodnight ladies sweet dreams',4
'  its ok heres some stilts so you can be like the rest of us',4
' lipstick jungle bar tour later tonight  circa its open to all',4
' finaly going to sleep after a great night',4
' need a job and credit and new shoes',4
' just finished music assignment relieved',4
'  even worse than old engine oil i can barely imagine',4
' woke up sunshine new hair colour dad nice day',4
' ok beloved twitter friends i\'m done for the night & will excuse myself this followfriday coz i have a busy day ahead-but i love u all',4
' at t3 arrivals waiting for ',4
'  i donno but i m addicted to both more to twitter',4
' URL so tell me why haven\'t i heard from you hehehe',4
' and this is the place URL',4
' you can call me nocturnal teen so sleepy right now i\'ve listened to taylor\'s swift\'s fearless cd 3 times in a row yay',4
' just joined a twibe visit URL to join',4
'  bakk now & yeahh i get youu but who do youu like out of da 2 guys youu like',4
' awesome weather',4
'  you can only do what you can do the world is full of causes nearly all of them valid you can only be active in so many',4
'  my apologies if i came across a tad cocksure about kr himmelfart yesterday the article caught me by suprise is it reliable',4
'  well you know what they say \"nothing good ever happens after midnight\"',4
'  drinking flavored coffee read but not news and enjoy it how r u',4
'  guten morgen hope you\'re feeling better that\'s awesome about abbey road and it\'s a really cool programme good luck',4
' ubuntuhu the new ubuntu hu is awesome',4
'   it is  thank you for followfriday you made my friday',4
' i am realising i know nothing of popular culture - STRLAUGH',4
'  hey gaga howz u chick cant wait till yae tour glasgow we all think yer mad lol',4
'  \"hello\" i\'m speaking quietly seeing as you\'re feeling a bit squiffy',4
' kate beckinsale super-ego goes nuts don\'t tell her such things ek likes juanathan hmm',4
' rt  oohh  has just arrived with a printer and a curry <-- i read this as \" a pint and a curry \"',4
'  friday funtimes started yet let me know if you need a consultant for your capers x',4
' sakit tengkuk bahu and kepala -- am i overworking myself -- yet another jam packed weekend ahead -- 3 shoots shopping 4studio & a date',4
'  dat is fijn',4
'  ah well i have also its all good laterzz im offski and roll on tnite so i can have a few wines to wet me whistle',4
'  aww poor thing i live in a unit so i can only have cats i have 3 cats and 1 cockatiel',4
' everybody follow  for great gardening advice plus she\'s just a fab person and dog lover of course followfriday',4
'  crazy fun stationery makes everything more fun',4
'  hey guys thnx 4 doin the show 4 tim & bigz wile they were away thnx again',4
' is gonna get up and go to town',4
'  im up wit ya',4
'  hey yer not bad thanks you up to anything interesting today',4
' a monkey could do my job going to build a fort again later',4
' camera charged and full 4gb memory',4
' arrived corfu 11 am easyjet text informed us boarding closes at 5 30 am',4
'  i\'ve missed it for a few weeks \\ i know heather\'s pregnant though STRLAUGH much else happend morning to you too',4
'  thnq for sharing',4
' a bit of aretha franklin for a friday URL',4
'  just saw the video of you free soloing the diamond it\'s a great video very inspiring',4
'  thank you',4
' listening to texas - white on blonde amazing album love it',4
'  whatever comes into your head or read the artists way by julia cameron or write about your new friend karolina',4
'  rage i\'ll tell you about it laterr later woo xx',4
'  hardy hi rosie hope you\'re enjoying your trip don\'t get too lonely i\'m sure aaron would want you to enjoy yourself',4
'  ow do u really want one i\'ll save u some mum made em im watching project runway STRLAUGH maybe later',4
' i\'m working on my new personal website when its done i will tell you guys trust me',4
' is going to wet tonight URL',4
' discovering genes in under researched species whatevs kinda geeky but also damn cool i think',4
'  have a 15 min twitter thing soon too plse make sure to  ur tpps/info',4
'  STRLAUGH why will you talk bout it no i was in home',4
'  STRLAUGH i didnt no how the hell you have beat terminator salvation god your loved',4
'  thankyouu',4
'  thanks for the retweet',4
'  thx for your info',4
' checking updates in multiply and listening to ss501',4
' like it URL',4
'  good morning another more 6 doesn\'t hurt how are you',4
'  yeeaah sara won <33 woohoo and i\'m soo happy that marie went out first STRLAUGH',4
'  thank u',4
' right off to unconference uollts via photocopier and internal mail there should be two of me by the time i arrive',4
'  it\'s going pretty good yes',4
'  well at least you made it home ok',4
' rt  all you kind stumblers out there mind giving some stumble love to this URL plz rt thanks',4
'  l thank you sweetie x',4
' hoping for a good night out at the new club tonight woody will be buying',4
' lea and me à paris',4
' tel developers you know there\'s a full tel developer\'s guide right right URL',4
